3491.00	14.20	6.48	2.01
3884.00	3.90	5.98	1.91
4931.00	24.80	5.39	1.85
4726.00	6.60	5.97	2.11
5089.00	12.40	5.61	2.16
3452.00	6.50	6.55	2.28
5164.00	1.00	8.51	2.06
4108.00	8.90	5.74	1.89
3494.00	8.30	6.24	1.32
5300.00	0.50	9.64	3.09
2800.00	12.70	4.38	1.42
3396.00	15.10	4.99	2.09
4176.00	41.20	5.01	2.58
4992.00	3.80	9.28	2.37
3684.00	0.70	6.90	2.08
2704.00	27.30	4.41	1.58
3515.00	11.60	5.84	1.99
3895.00	1.90	13.25	4.17
3318.00	22.50	5.47	2.06
3245.00	11.60	5.87	2.10
4112.00	18.00	4.58	1.76
4777.00	14.60	6.11	1.69
4229.00	26.70	5.91	1.78
4486.00	55.20	5.85	1.72
4433.00	14.20	6.02	1.97
4453.00	11.30	11.11	2.89
3839.00	2.70	10.55	2.98
3643.00	15.10	5.85	2.10
3723.00	24.10	6.08	2.17
2810.00	15.40	5.52	1.93
4703.00	1.80	6.35	1.85
3141.00	26.60	2.65	1.42
4439.00	2.90	15.15	3.71
4975.00	1.20	7.95	2.42
4500.00	22.80	5.41	1.99
4069.00	6.60	5.77	2.31
3254.00	2.90	9.14	3.43
4106.00	21.30	6.73	2.12
5139.00	4.70	6.61	2.99
4758.00	5.30	9.67	2.71
4700.00	1.80	9.81	2.82
4390.00	13.50	7.72	2.05
4007.00	11.40	7.35	2.05
4643.00	7.30	6.93	2.28
4408.00	5.00	6.42	2.06
4579.00	10.40	7.41	2.28
4628.00	8.00	8.43	2.40
4703.00	2.40	7.18	2.27
5515.00	6.80	6.41	1.97
3970.00	6.00	6.22	2.07
4871.00	7.90	7.82	2.18
4692.00	5.40	7.08	2.27
4768.00	1.90	7.08	2.27
